CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
18113,1,72,368,76.320000000000007,76.320000000000007,1,0.0,1,0,0.0
14124,1,1618,84,419.58,419.58,4,0.0,1,0,0.0
15180,1,36,367,87.5,87.5,6,0.0,1,0,0.0
14861,1,117,52,125.78999999999999,125.78999999999999,6,0.0,1,0,0.0
14981,1,97,246,102.12,102.12,8,0.0,1,0,0.0
17309,1,41,95,82.75,82.75,11,0.0,1,0,0.0
13182,1,201,45,121.18,121.18,11,0.0,1,0,0.0
12519,1,172,63,276.84,276.84,16,0.0,1,0,0.0
13146,1,154,26,228.91000000000005,228.91000000000005,16,0.0,1,0,0.0
13874,1,180,358,540.45,540.45,18,0.0,1,0,0.0
12552,1,85,39,317.82,317.82,19,0.0,1,0,0.0
18203,1,43,157,160.42,160.42,19,0.0,1,0,0.0
16947,1,312,235,406.48,406.48,21,0.0,1,0,0.0
16071,1,180,44,326.24000000000007,326.24000000000007,21,0.0,1,0,0.0
15292,1,55,201,178.39000000000004,178.39000000000004,24,0.0,1,0,0.0
16017,1,102,47,211.87999999999997,211.87999999999997,26,0.0,1,0,0.0
15165,1,160,373,487.74999999999989,487.74999999999989,27,0.0,1,0,0.0
16708,1,285,45,656.62999999999988,656.62999999999988,27,0.0,1,0,0.0
18200,1,104,106,150.35,150.35,29,0.0,1,0,0.0
14270,1,197,331,492.65,492.65,29,0.0,1,0,0.0
12521,1,306,142,545.68000000000006,545.68000000000006,37,0.0,1,0,0.0
15957,1,211,31,428.89,428.89,40,0.0,1,0,0.0
17976,1,93,372,321.78999999999996,321.78999999999996,56,0.0,1,0,0.0
17070,1,131,114,304.23999999999978,304.23999999999978,62,0.0,1,0,0.0
13120,1,12,238,30.599999999999998,30.599999999999998,1,0.0,1,0,0.0
16148,1,72,296,76.320000000000007,76.320000000000007,1,0.0,1,0,0.0
16754,1,4280,372,2002.4,2002.4,2,0.0,1,0,0.0
14373,1,17,358,76.55,76.55,4,0.0,1,0,0.0
12659,1,104,29,73.68,73.68,4,0.0,1,0,0.0
13296,1,78,137,87.4,87.4,5,0.0,1,0,0.0
18032,1,42,334,73.5,73.5,5,0.0,1,0,0.0
14353,1,64,215,90.6,90.6,6,0.0,1,0,0.0
14054,1,62,65,92.460000000000008,92.460000000000008,6,0.0,1,0,0.0
16178,1,94,138,197.9,197.9,8,0.0,1,0,0.0
17123,1,246,161,345.3,345.3,9,0.0,1,0,0.0
17117,1,68,288,116.2,116.2,9,0.0,1,0,0.0
12574,1,59,315,182.45,182.45,10,0.0,1,0,0.0
17978,1,499,365,300.92,300.92,12,0.0,1,0,0.0
18215,1,118,89,299.34,299.34,13,0.0,1,0,0.0
13052,1,222,212,348.15000000000003,348.15000000000003,18,0.0,1,0,0.0
12715,1,190,106,263.36,263.36,19,0.0,1,0,0.0
16483,1,44,192,139.35,139.35,19,0.0,1,0,0.0
16982,1,182,60,384.06,384.06,22,0.0,1,0,0.0
13075,1,485,129,919.61000000000013,919.61000000000013,22,0.0,1,0,0.0
15438,1,59,131,156.58,156.58,25,0.0,1,0,0.0
17878,1,401,43,379.45,379.45,26,0.0,1,0,0.0
14357,1,147,43,225.12000000000003,225.12000000000003,39,0.0,1,0,0.0
13708,1,300,271,283.32999999999987,283.32999999999987,48,0.0,1,0,0.0
16765,1,4,294,34.0,34.0,1,0.0,1,0,0.0
13228,1,200,81,358.0,358.0,2,0.0,1,0,0.0
16545,1,78,164,339.3,339.3,3,0.0,1,0,0.0
15619,1,136,10,336.40000000000003,336.40000000000003,3,0.0,1,0,0.0
14117,1,72,143,90.0,90.0,3,0.0,1,0,0.0
17060,1,216,266,234.24,234.24,5,0.0,1,0,0.0
13522,1,44,30,125.8,125.8,5,0.0,1,0,0.0
15083,1,38,256,88.2,88.2,5,0.0,1,0,0.0
16582,1,164,113,313.62,313.62,6,0.0,1,0,0.0
15256,1,55,148,98.45,98.45,6,0.0,1,0,0.0
15775,1,68,245,104.9,104.9,7,0.0,1,0,0.0
13260,1,142,61,557.62,557.62,8,0.0,1,0,0.0
13103,1,82,39,243.94,243.94,8,0.0,1,0,0.0
17947,1,168,37,176.67999999999998,176.67999999999998,9,0.0,1,0,0.0
12588,1,52,39,174.9,174.9,9,0.0,1,0,0.0
12732,1,110,179,218.26,218.26,11,0.0,1,0,0.0
15925,1,93,194,207.15,207.15,12,0.0,1,0,0.0
15670,1,91,296,173.04999999999998,173.04999999999998,12,0.0,1,0,0.0
13889,1,146,92,416.90000000000003,416.90000000000003,15,0.0,1,0,0.0
15820,1,128,319,206.98000000000002,206.98000000000002,17,0.0,1,0,0.0
18056,1,211,288,363.64999999999992,363.64999999999992,19,0.0,1,0,0.0
16967,1,333,189,319.02,319.02,21,0.0,1,0,0.0
16063,1,262,260,335.32,335.32,23,0.0,1,0,0.0
18159,1,139,301,530.15000000000009,530.15000000000009,23,0.0,1,0,0.0
14753,1,211,87,563.15,563.15,30,0.0,1,0,0.0
16893,1,62,366,145.93,145.93,44,0.0,1,0,0.0
16494,1,675,296,826.53000000000009,826.53000000000009,47,0.0,1,0,0.0
15460,1,107,354,214.25999999999993,214.25999999999993,53,0.0,1,0,0.0
15891,1,417,226,509.13,509.13,59,0.0,1,0,0.0
15006,1,285,51,475.42999999999967,475.42999999999967,120,0.0,1,0,0.0
14382,1,1231,26,615.49000000000012,615.49000000000012,121,0.0,1,0,0.0
16617,1,91,235,151.85,151.85,5,0.0,1,0,0.0
13947,1,44,65,90.6,90.6,5,0.0,1,0,0.0
16363,1,52,53,109.36,109.36,5,0.0,1,0,0.0
15909,1,98,173,191.93999999999997,191.93999999999997,7,0.0,1,0,0.0
17148,1,82,51,124.88000000000001,124.88000000000001,9,0.0,1,0,0.0
13751,1,152,288,296.25,296.25,9,0.0,1,0,0.0
17496,1,79,358,271.04999999999995,271.04999999999995,10,0.0,1,0,0.0
14055,1,216,106,725.6400000000001,725.6400000000001,10,0.0,1,0,0.0
16847,1,78,43,193.44,193.44,12,0.0,1,0,0.0
17128,1,76,334,157.09,157.09,14,0.0,1,0,0.0
16123,1,170,51,307.77999999999992,307.77999999999992,16,0.0,1,0,0.0
15930,1,139,67,426.63000000000005,426.63000000000005,21,0.0,1,0,0.0
17654,1,41,277,117.55000000000001,117.55000000000001,22,0.0,1,0,0.0
15639,1,323,134,425.32000000000011,425.32000000000011,25,0.0,1,0,0.0
18216,1,200,31,481.75,481.75,26,0.0,1,0,0.0
16666,1,233,19,118.98000000000002,118.98000000000002,32,0.0,1,0,0.0
12707,1,256,291,603.42,603.42,33,0.0,1,0,0.0
18088,1,107,61,166.03,166.03,35,0.0,1,0,0.0
14459,1,760,155,1837.9199999999998,1837.9199999999998,37,0.0,1,0,0.0
17551,1,142,359,290.34,290.34,39,0.0,1,0,0.0
17431,1,292,313,403.3,403.3,41,0.0,1,0,0.0
14485,1,70,38,162.79999999999998,162.79999999999998,44,0.0,1,0,0.0
15076,1,571,172,880.84999999999991,880.84999999999991,49,0.0,1,0,0.0
15503,1,70,362,141.04000000000008,141.04000000000008,66,0.0,1,0,0.0
17936,1,257,5,380.12999999999971,380.12999999999971,68,0.0,1,0,0.0
17102,1,2,261,25.5,25.5,1,0.0,1,0,0.0
17331,1,16,123,175.2,175.2,1,0.0,1,0,0.0
15668,1,72,217,76.320000000000007,76.320000000000007,1,0.0,1,0,0.0
16976,1,88,267,251.51999999999998,251.51999999999998,2,0.0,1,0,0.0
13298,1,96,1,360.0,360.0,2,0.0,1,0,0.0
14840,1,31,267,62.85,62.85,4,0.0,1,0,0.0
13866,1,57,74,145.67000000000002,145.67000000000002,7,0.0,1,0,0.0
14889,1,90,336,135.9,135.9,10,0.0,1,0,0.0
12618,1,95,21,137.31,137.31,10,0.0,1,0,0.0
14935,1,935,297,1784.71,1784.71,10,0.0,1,0,0.0
14727,1,62,274,268.58,268.58,10,0.0,1,0,0.0
12795,1,64,18,318.48,318.48,13,0.0,1,0,0.0
12355,1,240,214,459.4,459.4,13,0.0,1,0,0.0
13699,1,66,155,308.58000000000004,308.58000000000004,14,0.0,1,0,0.0
15986,1,268,30,168.12,168.12,14,0.0,1,0,0.0
14638,1,166,50,443.59999999999997,443.59999999999997,16,0.0,1,0,0.0
16281,1,934,72,2062.0600000000004,2062.0600000000004,17,0.0,1,0,0.0
13328,1,680,316,1308.4799999999998,1308.4799999999998,17,0.0,1,0,0.0
15552,1,60,217,90.12,90.12,17,0.0,1,0,0.0
12956,1,34,306,108.07000000000002,108.07000000000002,19,0.0,1,0,0.0
17985,1,171,22,631.34999999999991,631.34999999999991,20,0.0,1,0,0.0
14413,1,67,362,121.05000000000001,121.05000000000001,22,0.0,1,0,0.0
15975,1,243,84,371.00999999999993,371.00999999999993,24,0.0,1,0,0.0
13670,1,282,75,349.69999999999993,349.69999999999993,25,0.0,1,0,0.0
14174,1,94,33,134.46,134.46,26,0.0,1,0,0.0
15448,1,232,312,494.64000000000004,494.64000000000004,28,0.0,1,0,0.0
15725,1,221,15,415.25,415.25,32,0.0,1,0,0.0
13878,1,463,54,1271.57,1271.57,35,0.0,1,0,0.0
13291,1,233,155,361.11,361.11,41,0.0,1,0,0.0
13341,1,301,260,775.84999999999991,775.84999999999991,42,0.0,1,0,0.0
17301,1,137,21,163.24,163.24,59,0.0,1,0,0.0
15019,1,150,266,252.80999999999997,252.80999999999997,64,0.0,1,0,0.0
17619,1,124,312,214.37000000000006,214.37000000000006,71,0.0,1,0,0.0
12965,1,282,89,769.81,769.81,108,0.0,1,0,0.0
13185,1,12,267,71.4,71.4,1,0.0,1,0,0.0
15049,1,63,273,121.17000000000002,121.17000000000002,3,0.0,1,0,0.0
15593,1,60,70,199.8,199.8,5,0.0,1,0,0.0
14693,1,34,264,172.9,172.9,8,0.0,1,0,0.0
12974,1,24,197,144.79999999999998,144.79999999999998,8,0.0,1,0,0.0
12672,1,78,329,225.9,225.9,10,0.0,1,0,0.0
13581,1,30,309,118.0,118.0,10,0.0,1,0,0.0
12430,1,116,43,216.4,216.4,10,0.0,1,0,0.0
13926,1,104,23,223.85000000000002,223.85000000000002,11,0.0,1,0,0.0
15895,1,94,149,179.17,179.17,11,0.0,1,0,0.0
15659,1,111,43,306.45000000000005,306.45000000000005,11,0.0,1,0,0.0
